year,month,day,hour,minute,second,latitude,longitude,depth,mi,mb,ms,mw,intensity
2003,6,12,18,43,29.27,13.067,120.244,3,4.8,5.8,5.2,,PTO GALERA III TAGAYTAY III MANILA II QUEZON CITY I
2003,10,9,22,19,12.76,13.676,119.58,39,5,5.8,5,,LUBANG ISLAND OCC MINDORO V MANILA IV BATANGAS PASIG MALOLOS III GUINAYNGAN CLARK LUCBAN TAGAYTAY II PTO GALERA I
2004,9,15,19,10,48.08,14.284,120.166,91,5.5,6.4,6.2,,INTENSITY IV - BALANGA; MARIVELES BATAAN; SUBIC ZAMBALES; MANILA TAGAYTAY CITY; INTENSITY III - BATANGAS CITY PUERTO GALERA
2004,10,8,14,36,6.09,13.815,120.413,94,5.5,6.4,6.2,,INTENSITY V - PUERTO GALERA; TAGAYTAY CITY; SAN FERNANDO PAMPANGA; MALOLOS BULACAN; LOS BANOS LAGUNA INTENSITY IV - BUCO TALISAY BATANGAS
2005,2,9,20,59,53.3,13.699,120.535,89,4.8,5.7,5.4,,INTENSITY IV - NASUGBU BATANGAS; INTENSITY III -  PTO GALERA PASAY CITY; INTENSITY II - QUEZON CITY MAKATI TAGAYTAY CLARK PAMPANGA
2005,4,3,1,41,31.07,13.558,120.584,95,4.9,5.9,5.3,,INTENSITY III - PTO GALERA; INTENSITY II - MANILA PASAY; INDANG CAVITE; ALABANG; INTENSITY I - TAGAYTAY
2005,12,11,16,23,38.68,14.024,120.654,205,4.7,5.7,5.1,,
2006,10,20,14,30,59.08,13.453,121.536,9,4.8,5.7,5.2,,INT V - BATANGAS CITY BAUAN BATANGASINTENSITY IV - MANILA LIPA CITYINTENSITY III - PTO GALERA MAKATI CITY
2006,10,20,14,30,59.11,13.452,121.544,10,4.8,5.8,5.2,,INTENSITY V - MARINDUQUE BATANGAS CITY BAUAN BATANGAS INTENSITY IV - MANILA LIPA CITY INTENSITY II - PTO GALERA MAKATI; INTENSITY II - TAGAYTAY CITY
2006,10,20,22,9,28,13.442,121.552,11,4.7,5.7,5.1,,
2007,6,3,10,9,48.77,13.658,122.686,5,4.8,5.8,5.3,,INTENSITY V - RAGAY CAMARINES SUR LABO CAMARINES NORTE; INTENSITY IV - GUINAYANGAN QUEZON; INTENSITY III - LUCBAN QUEZON
2007,7,17,12,42,46.59,13.522,120.698,104,4.6,5.6,5,,INTENSITY III - MAMBURAO OCCIDENTAL MINDORO
2007,11,27,4,26,57.75,16.079,119.654,19,5.2,6.1,6,,INTENSITY V - LINGAYEN PANGASINAN; BAGUIO CITY; SN FERNANDO LA UNION BAGAC BATAAN INTENSITY IV - IBA ZAMBALES; SANTIAGO ISABELA; MANILA; CALOOCAN CITY; INTENSITY III - PASIG CITY MAKATI LAS PINAS PASAY BULACAN TARLAC ILOCOS SUR ILOCOS NORTE SAN FERNANDO PAMAPANGA INTENSITY II QUEZON CITY TAGUIG CAVITE NUEVA ECIJA
2008,1,9,20,19,34.92,15.443,122.735,15,4.6,5.6,5,,
2008,1,31,19,32,52.68,16.181,119.578,26,5,5.9,5.5,,INTENSITY IV - LUCIENTE BOLINAO PANGASINAN INTENSITY III - BAGUIO INTENSITY II - CLARK PAMPANGA; BANI PANGASINAN EASTWOOD QUEZON CITY
2008,2,27,22,56,59.72,13.134,120.358,32,4.7,5.7,5.2,,INTENSITY V - MAMURAO OCC. MINDORO; INTENSITY IV - LOOC LUBANG ISLAND; ABRA DE ILOG; INTENSITY III - ILIJAN BATANGAS; PTO GALERA; INTENSITY II - TAGAYTAY QC
2008,6,7,20,4,41.85,13.661,120.517,79,4.8,5.7,5.2,,INTENSITY IV - LUBANG OCCIDENTAL MINDORO; INTENSITY II - PTO GALERA
2008,7,6,12,1,29.59,15.404,122.381,1,4.9,5.8,5.4,,INTENSITY IV - BALER AURORA; DAET CAMARINES; LABO CAMARINES NORTE; GABALDON NUEVA ECIJA; PLARIDEL BULACAN; POLILIO ISLAND; MANILA; INTENSITY III - QUEZON CITY; MAKATI CITY; TAGUIG CITY; PARANAQUE; PASIG CITY; INFANTA QUEZON; TARLAC CITY; DINGALAN AURORA; INTENSITY II - GUINAYANGAN QUAZON; CLARK ANGELES CITY; BAGUIO CITY; CAINTA; SANJOSE DEL MONTE CITY; MUNOZ & TALAVERA NUEVA ECIJA; CABANATUAN CITY; RODRIGUEZ RIZAL; DIVILACAN ISABELA; INTENSITY I - GAPAN CITY
2008,7,6,12,46,56.27,15.405,122.386,15,4.8,5.7,5.2,,INTENSITY III - CAMARINES NORTE; GABALDON NUEVA ECIJA; INTENSITY II - DINGALAN AURORA; INTENSITY I - QUEZON CITY
2008,7,8,1,41,52.65,15.425,122.407,3,4.9,5.8,5.4,,INTENSITY IV - BALER AURORA; QUEZON CITY; MANILA CITY; GABALDON NUEVA ECIJA; INTENSITY III - DINGALAN AURORA; LA TRINIDAD BENGUET; BAGUIO CITY; SANTIAGO CITY ISABELA; GENERAL NAKAR QUEZON; MAKATI CITY; PASIG CITY; CALOOCAN CITY; TAGUIG CITY; INTENSITY II - LUCBAN QUEZON; MUNTINLUPA ALABANG; CARMONA CAVITE; CALAMBA LAGUNS; CAUAYAN ISABELA; MANDALUYONG CITY; INTENSITY I - DAET CAMARINES NORTE
2008,8,1,10,35,24.75,13.601,120.645,117,4.7,5.7,5.3,,INTENSITY III - MANILA CITY; SAN FERNANDO PAMPANGA; INTENSITY II - PUERTO GALERA
2008,9,27,3,4,54.98,13.333,120.317,73,,,5.3,,INTENSITY V - CALAPAN CITY; NAUJAN; INTENSITY IV - APALIT; MANILA; LAS PINAS; INTENSITY III - QUEZON CITY; BATANGAS CITY; INTENSITY II - MAKATI CITY
2008,9,27,3,9,8.28,13.315,120.08,86,5.5,6.4,6.5,,INTENSITY V - CALAPAN CITY; NAUJAN; LOOC; SABLAYAN ORIENTAL MINDORO; INTENSITY IV - APALIT; PUERTO GALERA; ABRA DE ILOG; INTENSITY III - QUEZON CITY; MANILA CITY; MOLINO CAVITE; PASIG CITY; BATANGAS CITY; TAGAYTAY CITY; OLONGAPO CITY; INTENSITY II - NAVOTAS CITY; MALOLOS; UBANDO BULACAN; BACOOR CAVITE; TAGUIG CITY; TANAUAN BATANGAS; BUCO TALISAY
2008,10,1,18,4,27.83,13.299,120.208,54,,,5.3,,INTENSITY IV - PALUAN OCC. MINDORO INTENSITY III - PUERTO GALERA INTENSITY II - TAGAYTAY MAKATI QUEZON CITY
2008,10,28,4,16,0.93,12.612,119.87,31,4.6,5.6,5,,
2009,1,9,7,28,42.02,16.204,119.546,6,4.6,5.6,5.1,,INTENSITY III - PASIG CITY; MANILA CITY;  INTENSITY II - MAKATI CITY; QUEZON CITY; BOLINAO PANGASINAN
2009,4,20,19,12,34.52,15.266,119.726,14,4.8,5.8,5.3,,INTENSITY IV - IBA ZAMBALES; INTENSITY III - STA CRUZ ZAMBALES; BAGUIO CITY;CLARKFIELD PAMPANGA; LINGAYEN PANGASINAN; MANILA; INTENSITY II - SAN RAFAEL TARLAC; SAN FERNANDO PAMPANGA; MANDALUYONG CITY & MAKATI CITY
2009,5,24,1,6,24.86,15.127,119.77,1,4.8,5.7,5.2,,INTENSITY III -  IBA ZAMBALES; SUBIC OLONGAPO; INTENSITY II - QUEZON CITY; ORTIGAS PASIG CITY; MAKATI CITY
2009,7,4,0,41,49.28,13.79,120.518,94,4.7,5.7,5.1,,INTENSITY II - BATANGAS CITY; PUERTO GALERA
2009,9,18,6,23,53.15,12.469,120.327,21,5.3,6.2,6,,INTENSITY IV - MAMBURAO & SAN JOSE OCC. MINDORO; BATANGAS CITY; BOAC MARINDUQUE; CORON PALAWAN; INTENSITY III - MAKATI CITY; PASAY CITY; MANILA CITY; TAGAYTAY CITY; LUCBAN QUEZON; DASMARINAS CAVITE; LUBANG OCC. MINDORO; INTENSITY II - GUINAYANGAN QUEZON; CALAPAN & PUERTO GALERA OR. MINDORO; MALAY AKLAN
2009,10,18,23,50,8.35,13.768,120.493,135,5.2,6.1,5.8,,INTENSITY IV - LOOC LUBANG; INTENSITY III - BATANGAS CITY; IBA ZAMBALES; CLARK PAMPANGA; INTENSITY II - CALAMBA LAGUNA; MANILA CITY; TALISAY BATANGAS
2009,10,31,0,7,41.6,15.32,119.934,8,4.6,5.6,5,,INTENSITY II - PASIG CITY HALL 8TH FLOOR
2010,1,16,19,53,18.78,13.573,120.523,60,4.6,5.6,5,,INTENSITY II - PTO GALERA MINDORO ORIENTAL; ALABANG MUNTINLUPA CITY
2010,2,1,4,56,36.44,13.785,120.511,111,4.7,5.7,5.1,,INTENSITY III - PALUAN OCCIDENTAL MINDORO; INTENSITY II - LUBANG SABLAYAN AND MAMBURAO OCCIDENTAL MINDORO ILIJAN BATANGAS; CALAPAN ORIENTAL MINDORO; INTENSITY I - PUERTO GALERA ORIENTAL MINDORO
2010,3,25,5,29,24.12,13.738,119.727,11,5.4,6.3,6,,INTENSITY V - LOOC LUBANG ISLAND; MANILA CITY; INTENSIT IV - QUEZON CITY; MANDALUYONG CITY; MAKATI CITY; PASAY CITY; TALISAY BATANGAS; TAGUIG CITY; PASIG CITY; INTENSITY III - BAGAC BATAAN; CANLUBANG LAGUNA; CLARK PAMPANGA; ROSARIO TRECE MARTIRES CAVITE; MARIKINA CITY; TAGAYTAY CITY; INTENSITY II - CALAMBA LAGUNA; PTO GALERA ORIENTAL MINDORO
2010,11,3,22,24,46.51,12.788,122.946,23,4.8,5.7,5.2,,INTENSITY III - SORSOGON CITY LEGASPI CITY; TABACO ALBAY; STA MISERICORDIA STO DOMINGO ALBAY; INTENSITY II - LIGNON HILL SAN JACINTO TICAO ISLAND; INTENSITY I - MASBATE CITY
2010,11,5,16,40,37.84,12.825,122.897,19,,,5.8,,INTENSITY VI - SAN PASCUAL BURIAS ISLAND; INTENSITY IV - MASBATE CITY; SORSOGON CITY; IROSIN SORSOGON; STO DOMINGO ALBAY; ODIONGAN ROMBLON; LEGASPI CITY; INTENSITY II - CEBU CITY; ROXAS CITY
2010,11,10,10,30,16.91,15.115,119.726,16,4.8,5.7,5.2,,INTENSITY V - SAN ANTONIO ZAMBALES; INTENSITY IV - IBA ZAMBALES; INTENSITY III - PASIG CITY TARLAC CITY; INTENSITY II - MANILA MAKATI QUEZON CITY MUNTINLUPA CITY; INTENSITY I - CLARK PAMPANGA
2011,3,10,19,6,9,13.65,120.36,78,4.5,5.5,5.1,,INTENSITY II - BATANGAS CITY
2011,3,21,10,36,47.86,13.855,120.23,75,5.1,6,5.7,,INTENSITY V - BATANGAS CITY; INTENSITY IV - MANILA CITY; MARIKINA CITY; BACOOR CAVITE; TALISAY BATANGAS; TAGAYTAY CITY; LUBANG OCCIDENTAL MINDORO; MALOLOS & UBANDO BULACAN; INTENSITY II - PATEROS NAVOTAS; CALAMBA AND BINAN LAGUNA; LUCBAN QUEZON; SUBIC ZAMBALES; CLARK PAMPANGA; PLARIDEL BULACAN; TARLAC CITY CABANATUAN CITY NUEVA ECIJA; BAGUIO CITY
2011,4,8,18,29,16.67,13.84,119.79,33,4.9,5.9,5.4,,INTENSITY IV - LOOC & LUBANG OCCIDENTAL MINDORO; INTENSITY III - PUERTO GALERA SAN TEODORO & BACO ORIENTAL MINDORO; MANILA & GUIGINTO BULACAN; MAKATI CITY; MUNTINLUPA CITY; MARIKINA CITY
2011,5,22,16,42,23.8,13.653,120.712,103,5.1,6,5.7,,INTENSITY IV - ILIJAN BATANGAS; INTENSITY III - TAGAYTAY CITY; MALATE MANILA; PTO GALERA ORIENTAL MINDORO; TAGAYTAY CITY; ALABANG MUNTINLUPA; CLARK PAMPANGA; INTENSITY II - MALOLOS BULACAN; INTENSITY I - NICHOLS PASAY
2011,7,25,17,15,42.85,15.07,119.86,37,5.3,6.2,5.9,,INTENSITY V - IBA SAN FELIPE AND STA CRUZ ZAMBALES; INTENSITY IV - CLARK PAMPANGA; OBANDO BULACAN; QUEZON CITY; MANILA; ALABANG MUNTINLUPA; BACOOR CAVITE; INTENSITY III - MAKATI; PASIG; TAGUIG; MANDALUYONG; TAGAYTAY; CABANATUAN CITY NUEVA ECIJA; GUIGUINTO BULACAN; MARIKINA; PATEROS; DAGUPAN CITY; INTENSITY II - BAGUIO CITY
2011,8,12,2,29,28.02,13.434,120.886,142,4.6,5.6,5,,INTENSITY II - PASIG CITY PASAY CITY MANILA; ALABANG MUNTINLUPA; BATANGAS CITY; MAMBURAO OCCIDENTAL MINDORO; CALAPAN CITY; INTENSITY I - NAUJAN ORIENTAL MINDORO
2011,11,29,8,29,27.35,14.07,119.214,62,4.6,5.6,5,,
2011,12,23,4,27,9.76,13.074,120.313,22,4.8,5.8,5.3,,INTENSITY IV - MAMBURAO ABRA DE ILOG PALUAN OCC MINDORO; PTO GALERA OR MINDORO;BATANGAS CITY; INTENSITY III - MOGPOG MARINDUQUE; MANILA PASIG CITY; INTENSITY II - LUCBAN QUEZON; QUEZON CITY; MUNTINLUPA CITY; MAKATI CITY; PASAY CITY; MARIKINA CITY
2012,3,8,15,30,21.97,13.547,120.32,4,4.8,5.7,5.1,,INTENSITY IV - LOOC OCCIDENTAL MINDORO; INTENSITY III - PTO GALERA ORIENTAL MINDORO; QUEZON CITY; MANILA; MUNTINLUPA CITY; MANDALUYONG CITY; INTENSITY II - NAUJAN ORIENTAL MINDORO; MAKATI CITY; INTENSITY I - LUCBAN
2012,3,8,20,3,11.95,13.507,120.203,5,4.9,5.9,5.3,,INTENSITY IV - LOOC AND LUBANG OCCIDENTAL MINDORO; INTENSITY III - PTO GALERA ORIENTAL MINDORO; QUEZON CITY; MANILA CITY; MUNTINLUPA CITY; INTENSITY II - CALAPAN AN NAUJAN ORIENTAL MINDORO; INTENSITY I - LUCBAN
2012,6,16,22,18,46.16,15.618,119.323,23,5.3,6.3,6,,INTENSITY IV - CANDELARIA SANTA CRUZ MASINLOC SUBIC AND IBA ZAMBALES; DAGUPAN CITY BUGALLON VILLASIS AND BOLINAO PANGASINAN; MAKATI CITY; INTENSITY III - CLARK AND LUBAO PAMPANGA SAN FERNANDO LA UNION; PASAY CITY TAGUIG CITY QUEZON CITY; INTENSITY II - BACOOR CAVITE; PLARIDEL BULACAN; INTENSITY I - TAGAYTAY CITY
2012,7,14,20,12,6.91,14.931,119.464,1,4.7,5.7,5.1,,
2012,8,7,5,3,42.69,13.808,119.755,32,4.7,5.7,5,,INTENSITY III - LUBANG OCCIDENTAL MINDORO; INTENSITY II - PASAY CITY; SAMPALOC MANILA; CLARK PAMPANGA; OLOGAPO CITY; INTENSITY I - QUEZON CITY
2012,9,29,14,12,1.2,13.846,120.538,126,4.8,5.8,5.2,,INTENSITY II - PUERTO GALERA; CALAPAN CITY MINDORO; ABRA DE ILOG OCCIDENTAL MINDORO
2012,10,4,1,55,15.98,13.085,120.327,28,4.9,5.8,5.3,,INTENSITY IV - BATANGAS  CITY; PINAMALAYAN ORIENTAL MINDORO; SAN JOSE OCCIDENTAL MINDORO; INTENSITY III - PASAY CITY; INTENSITY II - QUEZON CITY; MALABON CITY; INTENSITY I - TAGAYTAY CITY
2012,11,23,4,52,39.58,14.149,120.57,196,4.7,5.7,5,,INTENSITY II - NASUGBU BATANGAS
2013,1,14,11,3,26.27,14.988,119.57,14,4.7,5.7,5,,INTENSITY II - PASAY CITY
2013,4,4,2,27,5.49,15.859,121.695,25,,,5.4,,INTENSITY V - BALER AURORA; INTENSITY IV - DINGALAN AURORA; GABALDON PALAYAN CITY CABIAO BONGABON & SAN JOSE NUEVA ECIJA; SANTIAGO CITY & PALANAN ISABELA; BAYOMBONG & DUPAX DEL SUR NUEVA VIZCAYA; INTENSITY III - TARLAC CITY; CABANATUAN CITY NUEVA ECIJA; DAGUPAN CITY PANGASINAN; CAUAYAN CITY ISABELA; INFANTA QUEZON; MANDALUYONG CITY; QUEZON CITY; TAGUIG CITY; PASAY CITY; ANTIPOLO CITY; BACOOR CAVITE; MUNOZ NUEVA ECIJA; STA FE NUEVA VIZCAYA; INTENSITY II- SAN CLEMENTE TARLAC; AGLIPAY & MADDELA QUIRINO; BAGUIO CITY; MANILA CITY; MALOLOS CITY BULACAN; MUNTINLUPA CITY;  VILLA BERDE NUEVA VIZCAYA; INTENSITY I - CLARK PAMPANGA; MAKATI CITY
2014,6,8,4,33,10.88,13.154,120.131,1,4.8,5.7,5.1,,INTENSITY IV- PALUAN OCCIDENTAL MINDORO; INTENSITY III- LUBANG OCCIDENTAL MINDORO
2014,6,25,11,52,2.18,13.547,120.51,40,,,5.8,,INTENSITY V - CALATAGAN BATANGAS; LOOC LUBANG; MAMBURAO SABLAYAN ABRA DE ILOGAND PALUAN OCCIDENTAL MINDORO; PUERTO GALERA ORIENTAL MINDORO; BATANGAS CITY; INTENSITY IV - MALOLOS BULACAN; NAUJAN SAN TEODORO POLA AND SOCORRO ORIENTAL MINDORO; TAGAYTAY CITY; INDANG AND ROSARIO CAVITE; INTENSITY III - QUEZON CITY; PASIG CITY; TAGUIG CITY; MANILA; PARANAQUE CITY; MUNTINLUPA CITY; VALENZUELA CITY; MARIKINA CITY; PASAY CITY; OBANDO BULACAN; BACOOR CAVITE; BACO OR. MINDORO;TALISAY AND TAAL VOLCANO ISLAND; INTENSITY II - BINANGONAN RIZAL; LUCBAN AND LUCENA QUEZON; STA ROSA AND SAN PEDRO LAGUNA; CORON AND BUSUANGA PALAWAN; MAKATI CITY; LAS PINAS CITY; OLONGAPO CITY; GAPAN CITY; SAN ISIDRO NUEVA ECIJA; BUENAVISTA AND BOAC MARINDUQUE; INTENSITY I - CALOOCAN CITY; SAN MATEO RIZAL
2014,9,3,13,43,59.5,15.156,122.428,12,,,5.5,,INTENSITY IV - JOMALIG ISLAND; PATNANUNGAN PANUKULAN AND POLILIO QUEZON; INTENSITY III - QUEZON CITY; MANDALUYONG CITY; GUINAYANGAN QUEZON; GAPAN NUEVA ECIJA; MALOLOS AND OBANDO BULACAN; CAINTA AND MONTALBAN RIZAL; ANTIPOLO CITY; MARIKINA CITY; SAN MATEO RIZAL; DAET CAMARINES NORTE; INTENSITY II- SANTA ROSA AND SANTA CRUZ LAGUNA; TANZA CAVITE; MAKATI CITY; MUNTINLUPA CITY; TAGUIG CITY; MALABON CITY; PASAY CITY; LUCENA CITY; REAL LUCBAN AND SAMPALOC QUEZON; BALER AND MARIA AURORA AURORA; INTENSITY I - BAGUIO CITY
2014,12,31,9,26,23.27,13.724,120.506,107,,,5.4,,INTENSITY III - QUEZON CITY; CALATAGAN BATANGAS
2015,1,10,19,31,59.91,14.74,119.91,48,,,5.9,,INTENSITY V - SAN ANTONIO BOTOLAN SUBIC SAN FELIPE AND SAN NARCISO ZAMBALES; OLONGAPO CITY; INTENSITY IV - PATEROS CITY; PASIG CITY; MANILA CITY;; QUEZON CITY; MAKATI CITY; PARANAQUE CITY; MALABON CITY; PASAY CITY; SAN MATEO BINANGONAN AND MONTALBAN RIZAL; HAGONOY NAD OBANDO BULACAN; DAGUPAN CITY; LINGAYEN PANGASINAN; INDANG AND KAWIT CAVITE; BACOLOR ANGELES CITY AND CLARK PAMPANGA;; MARIVELES BATAAN; PAKIL AND LOS BANOS LAGUNA; INTENSITY III - TAGAYTAY CITY; SAN MIGUEL TARLAC BALER AURORA; GAPAN NUEVA ECIJA; SANTA BARBARA PANGASINAN; INTENSITY II - BAGUIO CITY; BATANGAS CITY; PUERTO GALERA ORIENTAL MINDORO
2015,1,17,5,9,17.75,13.885,120.45,128,,,5.1,,INTENSITY III - PALUAN ORIENTAL MINDORO; INTENSITY II - QUEZON CITY; INTENSITY I - PUERTO GALERA
2015,1,18,0,27,18.92,13.912,120.492,117,,,5,,INTENSITY II - PUERTO GALERA MINDORO ORIENTAL
2015,2,10,16,9,23.09,14.004,120.36,101,4.6,5.6,5,,INTENSITY III - NASUGBU BATANGAS; INTENSITY II - PASAY CITY; MANILA CITY; MUNTINLUPA CITY; QUEZON CITY
2015,6,13,5,3,41.97,13.816,120.489,118,,,5,,
2015,8,9,4,49,43.41,13.434,120.193,17,4.8,5.7,5.1,,
2015,10,19,13,50,42.36,13.842,120.38,89,5.2,6.2,5.8,,INTENSITY V - LOOC
2016,2,5,5,0,45.73,13.781,122.279,3,4.8,5.8,5.2,,INTENSITY V - GUINAYANGAN QUEZON; INTENSITY IV - LOPEZ PITOGO CALUAG & GUMACA QUEZON; INTENSITY III - MULANAY QUEZON
2016,4,19,18,33,26.7,15.589,119.952,33,4.6,5.6,5,,
2016,4,19,22,24,34.55,15.778,119.604,9,4.6,5.6,5,,
2016,9,2,9,7,37.82,13.727,120.541,84,4.6,5.6,5,,
2016,11,10,7,10,59.19,14.843,121.399,9,4.7,5.6,5,,REPORTED INTENSITIES:; INTENSITY V- GENERAL NAKAR & INFANTA QUEZON; INTENSITY IV - ANTIPOLO CITY; ANGONO RIZAL; REAL QUEZON; INTENSITY III - QUEZON CITY; MARIKINA CITY; MANILA CITY; MAKATI CITY; MANDALUYONG CITY PASIG CITY; SAN JUAN CITY; PASAY CITY; TARLAC CITY; SAN MATEO TERESA TANAY & BINANGONAN RIZAL; CALUMPIT BULACAN; INTENSITY II - TAGUIG CITY; PARA?QUE CITY; CALOOCAN CITY; VALENZUELA CITY; PATEROS METRO MANILA BACOOR CAVITE; SAN PEDRO CALAMBA STA. ROSA & LOS BA?S LAGUNA; SAN ILDEFONSO BULACAN; BALER AURORA; GABALDON NUEVA ECIJA; INTENSITY I - PALAYAN CITY; GAPAN CITY NUEVA ECIJA
2017,4,4,12,58,45.13,13.687,120.934,6,5,5.9,5.5,,INTENSITY VI - TINGLOY AND MABINI BATANGAS; BATANGAS CITY; INTENSITY V - MALVAR TAAL BAUAN AND CALATAGAN BATANGAS; INTENSITY IV - SAN NICOLAS  CUENCA LEMERY  AND LIPA CITY BATANGAS; MAKATI CITY; MANILA CITY; ; VALENZUELA CITY; OBANDO BULACAN; SILANG NOVELETA IMUS AMADEO AND INDANG CAVITE; ; TAGAYTAY CITY; CALAMBA SAN PABLO AND LOS BA├æOS LAGUNA;CALAPAN CITY; PUERTO GALERA; ORIENTAL MINDORO; INTENSITY III - SAN JOSE AND TALISAY BATANGAS; NAUJAN PINAMALAYAN ORIENTAL MINDORO; PALUAN; OCCIDENTAL MINDORO; MANDALUYONG CITY; QUEZON CITY; PASIG CITY; LAS PI├æAS CITY; TAGUIG CITY; ; PASAY CITY; GEN. TRIAS ROSARIO MOLINO AND DASMARI├æAS CAVITE ; LUCENA CITY; STA. ROSA LAGUNA;; INTENSITY II - ABRA DE ILOG OCCIDENTAL MINDORO;  MEYCAUAYAN; BULACAN; CALAUAG AND GUMACA QUEZON
2017,4,8,7,7,54.96,13.66,120.881,8,5.3,6.2,5.8,,INTENSITY VII - MABINI BATANGAS; INTENSITY VI - CALATAGAN NASUGBU AND TINGLOY BATANGAS; INTENSITY V - BATANGAS CITY STO. TOMAS AND LEMERY BATANGAS; TAGAYTAY CITY; INTENSITY IV- DASMARINAS CAVITE: LUCENA CITY; PATEROS CITY; INTENSITY III - MAKATI CITY; PASAY CITY; QUEZON CITY; MUNTINLUPA CITY; MALABON CITY; ; MANDALUYONG CITY; BACOOR CAVITE; INTENSITY II - DAET CAMARINES NORTE
2017,4,8,7,9,20.53,13.661,120.884,2,5.4,6.3,6,,INTENSITY VII - MABINI BATANGAS; INTENSITY VI - TINGLOY BAUAN CALATAGAN CUENCA CALACA AND NASUGBU BATANGAS; INTENSITY V - BATANGAS CITY STO. TOMAS SAN PASCUAL AND TANAUAN BATANGAS; SAN PABLO ; LAGUNA;GEN. EMILIO AGUINALDO & INDANG CAVITE; CALAPAN & PUERTO GALERA OR. MINDORO; ; TAGAYTAYCITY; INTENSITY IV- LEMERY & TAAL BATANGAS; OBANDO BULACAN; SAN TEODORO OR. MINDORO; MAMBURAO ; &SAN JOSE OCC. MINDORO; CALOOCAN CITY; VALENZUELA CITY; DASMARINAS CAVITE; STA. CRUZ & ; CALAMBA LAGUNA; LUCENA CITY; PATEROS; MANILA CITY; ; INTENSITY III - MAKATI CITY; PASIG CITY; PASAY CITY; QUEZON CITY; MUNTINLUPA CITY; MALABON CITY; ; MANDALUYONG CITY; TAGUIG CITY; IMUS AND BACOOR CAVITE; LUCBAN SAN ANDRES & SARIAYA ; QUEZON;DAET CAM.NORTE; STA. ROSA LAGUNA; GEN. TRIAS CAVITE; BOCAUE & MALOLOS BULACAN; ; SANFERNANDOPAMPANGA; INTENSITY II - CALUMPIT BULACAN; GUINAYANGAN QUEZON
2017,5,25,14,27,5.07,15.078,120.057,83,5,5.9,5.4,,INTENSITY IV - SAN MARCELINO SAN FELIPE IBA SANTA CRUZ CABANGAN AND CASTILLEJOS ZAMBALES;; LINGAYEN PANGASINAN; DINALUPIHAN & ABUCAY BATAAN; QUEZON CITY; PATEROS; MALOLOS BULACAN;; OBANDO BULACAN; OLONGAPO CITY; INTENSITY III - TAGAYTAY CITY; GAPAN CITY; BOTOLAN PALAUIG & SUBIC ZAMBALES; TALISAY BATANGAS;; SAN JOSE DEL MONTE & MARILAO BULACAN; PASAY CITY; MAKATI CITY; MANDALUYONG; MANILA CITY;; MARIKINA CITY; PARANAQUE CITY; TAGUIG CITY; CALOOCAN CITY; PASIG CITY; VALENZUELA CITY;; SAN MIGUEL TARLAC; BONGABON & ALIAGA NUEVA CIJA; INTENSITY II - PALAYAN CITY; BACOOR CAVITE; CALUMPIT BULACAN; SAN JACINTO PANGASINAN;; CABANATUAN CITY; LUCBAN QUEZON
2017,8,11,5,28,24.86,13.95,120.528,176,5.6,6.5,6.3,,INTENSITY IV - NASUGBU CALATAGAN & BALAYAN BATANGAS; CALAPAN SABLAYAN & ; MAMBURAO OCCIDENTAL MINDORO; CALAPAN AND NAUJAN ORIENTAL MINDORO; MANILA; ; PARANAQUE CITY; PASIG CITY;TAGUIG CITY; PASAY CITY; ROSARIO MARAGONDON NOVELETA & ; DASMARINAS CAVITE; FLORIDABLANCA PAMPANGA; OLONGAPO CITY; SUBIC & IBA ZAMBALES; ; ALAMINOS CITY PANGASINAN; BOAC MARINDUQUE; BINAN LAGUNA; INTENSITY III - PUERTO GALERA ORIENTAL MINDORO; ABRA DE ILOG AND SAN JOSE OCCIDENTAL ; MINDORO; TAGAYTAY CITY; CANLUBANG & CALAMBA LAGUNA; INDANG & ALFONSO CAVITE; ; BOCAUE MALOLOS OBANDO & BALAGTAS BULACAN; DAGUPAN CITY; DAU PAMPANGA; ; LINGAYEN AND BOLINAO PANGASINAN; BAGAC BATAAN; BAGUIO CITY; PATEROS; QUEZON CITY; ; MAKATI CITY; SAN JUAN CITY; MARIKINA CITY; CAINTA & SAN MATEO RIZAL; LUCBAN QUEZON; INTENSITY II - MAGSAYSAY OCCI. MINDORO; STA ROSA LAGUNA; GASAN MARINDUQUE; ; MAGALANG PAMPANGA; STO. TOMAS AND TANAUAN CITY BATANGAS; INTENSITY I - TALISAY BATANGAS; PANTABANGAN NUEVA ECIJA; MEYCAUAYAN BULACAN; ATOK; BENGUET
2017,9,23,13,30,32.09,13.701,120.577,157,4.7,5.7,5,,INTENSITY III- PALUAN OCCIDENTAL MINDORO; MORONG BATAAN; INTENSITY II - CALATAGAN BATANGAS; MAMBURAO OCCIDENTAL MINDORO; CALAPAN ORIENTAL MINDORO
2017,10,22,14,21,0.2,13.97,120.52,203,4.9,5.9,5.4,,INTENSITY III - LOOC OCCIDENTAL MINDORO; INTENSITY II - LIAN CALATAGAN & NASUGBU BATANGAS; MALABON CITY; NAVOTAS CITY; OLONGAPO CITY;; BACOOR CITY CAVITE; BANI PANGASINAN; PALAYAN NUEVA ECIJA; INTENSITY I - TAGAYTAY CITY; MARAGONDONCAVITE
