year,month,day,hour,minute,second,latitude,longitude,depth,mi,mb,ms,mw,intensity
1969,6,10,17,15,28,13.2,121.5,17,,5.1,,,
1969,6,25,0,8,55.9,13.46,120.33,60,,5,,,
1969,10,6,12,48,5.8,14.99,120.11,66,,5.6,,,
1970,2,5,22,5,58.5,12.58,122.09,8,,5.9,,,
1970,2,5,22,45,40,12.69,122.22,20,,5.1,,,
1970,2,6,2,17,33.5,12.69,121.93,34,,5.3,,,
1970,3,10,6,11,56,12.63,122.24,26,,5.6,,,
1970,3,29,2,18,1.5,13.94,120.67,121,,5.3,,,
1970,4,6,0,54,32.8,13.97,120.37,88,,5.2,,,
1970,4,7,5,34,6.2,15.78,121.71,40,,6.5,7.3,,BALER & METROPOLITAN MANILA VII DAGUPAN CABANATUAN INFANTA TUGUEGARAO VI CASIGURAN ALABAT LEGASPI V IBA TARLAC DAET CALAPAN IV
1970,4,7,5,53,18.6,15.25,122.4,47,,5.6,,,
1970,4,7,6,4,39,15.4,121.8,48,,5.1,,,
1970,4,7,6,11,52.8,15.68,121.85,22,,5.5,,,
1970,4,7,6,34,19.2,15.53,121.86,33,,5.5,,,
1970,4,7,7,59,57.3,15.49,121.78,33,,5.2,,,
1970,4,7,9,24,27,15.41,121.77,23,,4.9,,,
1970,4,7,15,5,49,15.38,121.83,9,,5.1,,,
1970,4,8,8,49,13,15.38,121.63,4,,5.2,,,
1970,4,8,9,52,49,15.38,121.79,20,,4.9,,,
1970,4,8,17,54,31,15.59,121.72,31,,5.3,,,
1970,4,8,21,23,54,15.4,121.75,7,,5.7,6.2,,
1970,4,8,21,30,59.5,15.31,121.88,33,,5.1,,,
1970,4,8,21,46,40,15.42,121.93,34,,5.1,,,
1970,4,8,23,33,45,15.55,121.85,26,,5.3,,,
1970,4,10,13,17,57.8,15.82,121.94,35,,4.9,,,
1970,4,12,4,1,44.6,15.08,122.01,25,,5.8,7,,
1970,4,12,4,15,32.1,15,122,18,,5.1,,,
1970,4,12,4,16,55.3,15.21,122.04,18,,5.5,,,
1970,4,12,4,25,26.3,15,121.9,22,,4.9,,,
1970,4,12,4,26,39.3,15.1,122.4,29,,5.2,,,
1970,4,12,5,18,9.1,15.17,122.51,32,,5.4,,,
1970,4,12,6,29,58,15.13,121.98,36,,4.9,,,
1970,4,12,9,1,46,15.08,122.05,29,,5,,,
1970,4,12,9,5,51.3,15.11,122.15,33,,4.9,,,
1970,4,12,10,48,45.1,15.12,122.05,39,,5.1,,,
1970,4,12,14,22,38.2,15.07,122.51,26,,5.4,,,
1970,4,12,23,52,8.5,15.25,122.4,33,,5,,,
1970,4,13,8,28,22.6,15.26,122.24,5,,5.2,,,
1970,4,15,13,14,26.7,15.11,122.71,50,,5.6,6,,
1970,4,20,21,22,15.9,12.5,121.7,33,,4.9,,,
1970,4,22,13,48,56,15.37,121.83,46,,5.1,,,
1970,5,1,3,22,14.2,15.64,121.78,33,,5.3,5.4,,
1970,5,2,17,49,5.2,15.2,122.6,44,,4.9,,,
1970,5,6,2,35,17.5,15.71,121.76,41,,5.1,,,
1970,6,16,8,9,14,15.1,122,19,,5.1,,,
1970,6,20,13,3,12.5,15.12,122.34,65,,4.9,,,
1970,7,10,21,6,39.6,13.93,120.42,89,,5.5,,,
1970,11,21,12,19,40.1,15.01,120.13,53,,5.5,5.2,,
1970,11,27,22,44,35.4,15.1,122.9,33,,4.9,,,
1971,3,4,4,59,51.6,13.9,120.61,117,,4.9,,,
1971,4,29,19,56,11.6,12.64,122.34,4,,5.7,,,
1971,4,29,19,56,24,13,122.3,90,,6,,,
1971,5,5,5,59,28.8,14.62,119.12,38,,4.9,,,
1971,7,2,1,21,38,15.88,120.22,58,,4.9,,,
1971,7,4,11,30,51.1,15.6,121.87,30,,5.5,5.1,,MANILA INTENSITY V
1971,7,4,11,30,53.8,15.6,121.85,50,,5.5,,,
1971,7,20,10,34,11.5,15.27,120.26,33,,5.4,,,
1971,8,20,11,19,51.6,13.87,120.89,139,,4.9,,,
1972,1,14,0,1,32.9,13.55,120.87,126,,5.1,,,
1972,2,19,8,7,2.1,12.89,121.31,14,,4.9,,,
1972,3,16,5,9,6.2,15.69,121.81,53,,5.1,,,BALER RF6 BAGUIO & CABANATUAN RF4 DAGUPAN RF2 MANILA INFANTA RF1
1972,3,28,8,29,20.6,13.52,120.76,165,,5.8,,,
1972,4,14,12,44,13.2,14.89,119.74,47,,5,,,
1972,4,25,19,30,9.3,13.37,120.31,50,,7.2,,,LUBANG ISLAND RRF6; MANILA CAVITE AMBULONG TAYABAS RF5; CABANATUAN IBA CUYO RF$; INFANTA RF3
1972,4,25,20,37,42.5,14.2,120.3,33,,5.3,,,
1972,4,25,20,37,48.7,13.55,120.41,79,,5,,,
1972,4,25,20,46,35.9,13.52,120.52,33,,5.4,,,
1972,4,26,4,30,19.5,13.51,120.51,72,,5.1,,,MANILA RF1
1972,4,26,6,18,44.9,13.55,120.55,33,,5.2,,,MANILA RF3
1972,4,26,6,43,42.9,13.49,120.61,63,,5,,,MANILA RF1
1972,4,26,8,38,34.6,13.49,120.67,71,,5.3,,,
1972,4,26,9,44,23.6,13.17,120.35,50,,5,,,
1972,4,26,14,17,45.1,13.45,120.45,69,,4.9,,,
1972,4,26,14,55,39,13.4,120.1,33,,5,,,
1972,4,26,15,55,59.3,13.22,120.34,40,,5.1,,,
1972,4,26,17,35,8.4,13.43,120.58,53,,5.2,,,
1972,4,26,21,34,53.9,13.41,120.59,44,,5,,,
1972,4,27,1,29,38.2,13.51,120.68,72,,5.4,,,MANILA RF4
1972,4,27,6,44,29.7,13.44,120.44,56,,5.2,,,MANILA RF3
1972,4,27,14,37,16.7,13.19,120.43,45,,5.4,,,
1972,4,27,15,35,36,13.4,120.5,33,,5.3,,,
1972,4,27,15,35,39.8,13.33,120.34,65,,5.1,,,
1972,4,27,15,42,9.6,13.28,120.39,33,,4.9,,,
1972,4,29,4,54,40.7,13.35,120.64,56,,5.2,,,
1972,4,30,0,13,26.3,13.29,120.41,33,,5.2,,,
1972,4,30,15,15,34.3,13.54,120.54,56,,5.5,,,MANILA RF3
1972,4,30,16,7,8.6,13.61,120.49,66,,5.3,,,
1972,5,1,18,23,22.6,13.38,120.39,63,,5,,,
1972,5,8,4,21,8.9,13.41,120.46,53,,5.1,,,
1972,5,17,5,27,51.6,13.36,119.88,37,,5.7,,,
1972,5,17,5,50,49.7,14.08,119.74,88,,5.2,,,
1972,5,22,6,36,40,14,120.7,33,,4.9,,,
1972,5,26,8,38,18.8,13.29,120.41,38,,5.2,,,
1972,5,28,15,20,49.8,13.37,120.65,46,,5.2,,,
1972,6,19,1,32,19,13.34,120.34,49,,5.3,,,
1972,6,19,1,32,22.1,13.46,120.51,75,,5.2,,,
1972,8,3,15,10,23.3,13.44,120.35,33,,5.3,,,
1972,8,28,14,24,46.1,13.27,120.56,62,,5.2,,,
1972,10,21,23,17,27.3,15.14,122.87,33,,4.9,,,
1972,11,4,10,36,45.3,12.9,120.2,33,,5.1,,,
1973,3,15,17,58,39.4,13.94,120.36,113,,5.2,,,MANILA RF2 QUEZON CITY RF1
1973,3,17,8,30,51.8,13.37,122.79,33,,5.6,7,,INTENSITY VIII - CALAUAG HONDAGUA LOPEZ  GUINAYANGAN QUEZON PROVINCE; INTENSITY VII - ALABAT QUEZON; INTENSITY VI - SAN FRANCISCO QUEZON; MANILA; INTENSITY V - QUEZON CITY; ROMBLON ROMBLON; DAET CAMARINES NORTE; INTENSITY IV - TAYABAS QUEZON; MIA PASAY CITY; AMBULONG; TANAUAN BATANGAS; LEGASPI ALBAY; INFANTA QUEZON; DAGUPAN NUEVA ECIJA; INTENSITY III - VIRAC; CATBALOGAN SAMAR                                                  F    HONDAGUA LOPEZ CALAUAG & GUINAYANGAN QUEZON PROVINCE INTENSITY VII ALABAT VII SAN FRANCISCO QUEZON & MANILA VI ROMBLON & DAET V TAYABAS QUEZON IV
1973,5,13,12,55,42.6,13.64,120.75,1,,5.3,,,
1973,5,13,12,55,48.6,13.73,120.89,40,,5.2,,,
1973,7,18,3,53,41.2,14.93,119.86,56,,5.1,,,MANILA RF3; QUEZON CITY RF2
1973,9,27,4,29,34.8,13.34,120.79,33,,4.9,,,
1973,10,7,12,20,37.2,16.33,122.34,33,,5,,,
1973,10,9,1,44,57.5,16.29,122.35,33,,5.2,,,BGUIO CITY TUGUEGARAO MANILA RF2
1973,10,17,2,57,48.5,15.98,121.6,33,,4.9,,,
1973,10,25,6,41,11.3,13.79,120.24,63,,5.6,,,MANILA BAGUIO CITY RF4; AMBULONG BATANGAS RF2
1973,11,18,8,38,26.5,15.93,119.21,33,,4.9,,,
1973,11,21,12,5,46.3,13.45,121.02,39,,5.1,,,CALAPAN RF2
1974,2,9,8,28,12,16.2,120.1,33,,5.5,,,
1974,2,9,8,28,15.3,15.9,119.9,65,,5.2,,,
1974,2,9,8,28,18.3,16,119.9,87,,5,,,
1974,2,12,9,47,46.7,13.6,120.4,88,,5.4,,,
1974,2,19,3,30,21.8,14,122.2,17,,5.7,,,
1974,4,16,11,22,52.9,13.83,120.65,123,,5.4,,,MANILA RF3
1974,10,17,13,5,26.8,13.69,120.59,171,,4.9,,,
1974,10,22,22,45,42.1,13.48,120.57,41,,5.2,,,MANILA AMBULONG RF3; TAYABAS RF2; QUEZON CITY RF1
1974,11,3,16,29,8.8,15.02,122.67,33,,5.1,,,DAET CAMARINES NORTE RF1
1975,2,1,15,19,50.5,13,120.2,33,5,,,,
1975,2,1,15,19,51.7,13.2,120.4,47,5,,,,
1975,4,29,8,41,51,13.7,120.8,33,5.6,,,,
1975,4,29,8,49,16,12.6,121.6,33,5.7,,,,
1975,4,29,8,49,25.8,13.7,120.8,50,5,,,,
1975,5,1,12,37,1.6,13.6,120.8,54,5,,,,
1975,5,2,21,9,40.1,13.6,120.7,34,5,,,,
1975,5,5,21,55,5,13,120,12,5,,,,
1975,5,5,21,55,10,13,120.3,49,5,,,,
1975,5,23,23,16,12.1,13.6,120.8,41,5,,,,
1975,6,18,4,11,2.3,13.9,120.6,134,5.4,,,,
1975,7,8,18,7,39.6,13.5,120.3,64,5,,,,
1976,2,13,10,33,43.5,14,120.13,33,5,,,,
1976,5,4,9,23,23.2,13.38,120.21,33,5.4,,,,
1980,3,31,12,41,47.1,16.04,121.88,50,5.1,,6.3,,RF6-CASIGURAN; RF5-MANILA; CABANATUAN BAGUIO CITY BALER AND CAVITE; RF4-QUEZON CITY DAET AMBULONG TAYABAS DAGUPAN AND TARLAC; RF3-TUGUEGARAO CITY; RF1-PASUQUIN
1980,7,4,22,23,32.9,15.09,122.7,113,5,,,,
1981,7,22,18,31,35.2,14.7,119.94,49,5,,,,RF4-MANILA IBA AND BATAAN; RF3-BALER AND SANTA; RF1-PASUQUIN
1983,6,1,1,36,53.3,13.15,120.71,236,5,,,,
1985,4,23,16,15,11,15.3,120.6,188,5.4,,,,RF4-MANILA BAGUIO AND SANTA RF3I-PASUQUIN CALLAO AND QUEZON CITY
1987,4,25,12,16,48.7,15.87,120.22,106,5.5,,,,RF6-DAGUPAN SAN FERNANDO LA UNION; RF5-MANILA BALANGA SANGLEY POINT; RF4-ZAMBALES QUEZON CITY SANTA ILOCOS SUR PASUQUIN ILOCOS NORTE; RF2-CAGAYAN
1987,6,5,21,27,56.6,15.6,121,45,5.6,,,,
1988,4,8,4,42,31.2,13.3,120.1,61,5.6,,,,RF4-MANILA; RF3-QUEZON CITY
1989,3,24,17,21,14.74,14.411,119.698,33,5.5,,,,
1990,2,22,17,19,35.9,16.13,122.14,19,,,5,,
1990,5,17,9,40,12.5,13.37,121.23,11,,,5.1,,
1990,5,27,14,0,31.6,12.67,120.49,3,,,5.2,,
1990,5,27,14,0,36.4,12.67,120.96,8,,,5.2,,
1990,5,29,12,35,26.8,16.08,119.95,3,,,5.1,,
1990,7,16,7,26,34.6,15.68,121.17,25,,6.5,7.8,,INTENSITY VIII - CABANATUAN CITY DAGUPAN CITY AGOO LA UNION BAGUIO CITY; INTENSITY VII - MANILA; INTENSITY VI - SANTA; INTENSITY V - CUBI POINT; INTENSITY IV - CALLAO CAVES
1990,7,16,7,45,58.7,15.66,121.18,33,,,5.2,,
1990,7,16,7,53,51.8,16.29,120.41,33,,,5.4,,
1990,7,16,8,30,32.9,16.17,120.18,33,,,5,,
1990,7,16,12,32,5.9,16.21,120.8,33,,,5,,
1990,7,16,13,31,13.2,16.29,120.88,33,,,5.7,,
1990,7,16,15,4,27,16.31,120.44,33,,,5,,
1990,7,17,21,40,11.3,16.25,120.92,33,,,5,,
1990,7,17,22,29,53,16.34,121.06,33,,,5,,
1990,7,18,21,14,45.1,16.06,121.04,6,,,6.3,,
1990,7,23,22,20,42,16.1,119.64,18,,,5.1,,
1990,8,19,10,12,7.2,16.17,120.21,1,,,5.5,,
1990,8,20,22,37,35.5,16.34,120.47,7,,,5.1,,
1990,9,3,5,13,29.5,16.33,120.75,4,,,5,,
1990,9,22,22,57,30.8,16.04,121.51,29,,,5.3,,
1990,10,7,10,2,29,13.3,120.17,7,,,5.5,,
1990,10,22,12,21,35.1,13.74,121.03,33,,,5.1,,
1990,11,3,15,21,1.9,12.9,122.22,23,,,5,,
1990,11,20,9,6,52.1,14.44,121.89,16,,,5.2,,
1990,12,5,16,13,15.6,14.48,121.97,13,,,5.9,,
1990,12,25,1,57,50.7,13.59,120.08,10,,,5.3,,
1991,1,19,15,56,53.5,15.44,121.21,9,,,5.4,,
1991,2,7,5,35,11.9,13.66,120.67,11,,,5.2,,
1991,2,23,10,40,58.5,15.91,120.84,3,,,5.1,,
1991,4,19,4,51,39.7,13.8,121.04,186,,,5.6,,
1991,4,19,4,51,39.7,13.8,121.04,186,,,5.6,,
1991,6,16,2,7,42.6,15.15,120.27,12,,,5.8,,
1991,6,16,9,51,12.2,15.15,120.46,9,,,5,,
1991,6,16,13,26,47.5,15.05,120.32,24,,,5.1,,
1991,6,17,15,33,4.2,15.04,120.24,27,,,5.2,,
1991,6,18,3,20,27.2,15.22,120.35,11,,,5.1,,
1991,7,3,3,49,45,15.21,120.44,8,,,5.8,,
1991,9,4,22,37,24.2,15.15,120.34,48,,,5.3,,
1991,10,25,13,48,20.1,13.27,120.15,6,,,5.5,,
1992,5,25,8,31,31.9,13.77,119.96,16,,,5.3,,INTENSITY IV - MANILA; INTENSITY III - QUEZON CITY
1993,3,29,3,50,55,13.41,120.62,22,,,5.3,,
1993,3,29,7,31,50.9,13.4,120.58,17,,,5.4,,INTENSITY IV- PTO GALERA; INTENSITY III - TAGAYTAY; INTENSITY II - QUEZON CITY
